userName,score,at,content
Yohan Angka,5,2024-09-30 18:15:36,🥰
Ahmad thobari,5,2024-09-30 18:12:16,mantap
Essty Ajung,5,2024-09-30 18:10:19,Termakasih
Desi Desi,5,2024-09-30 18:09:38,karna FB saya jadi bisa terhibur
Firman Maulana,5,2024-09-30 18:09:28,Nice
Aliando Tea,5,2024-09-30 18:08:55,Good
Addy Devkkan Aja Dehh,1,2024-09-30 18:02:02,Sering lemot.. tak merespon..👎
Zari Zary,5,2024-09-30 18:01:26,baik
Dian Permana,3,2024-09-30 17:55:02,sukses selalu
Irfan Adryan,5,2024-09-30 17:54:09,bagus
aLief_ oLeNk,4,2024-09-30 17:52:13,Cuma mau tanya knp saya ga bisa masuk akun fb.. Tiap masuk selalu minta kode verifikasi.. Pdhl akun sama sandi lengkap bener.. Ya udah gue yang mengalah langsung gue uninstal. Ribet ribett nyesel gue main aplk ini 😤
Indra Key,5,2024-09-30 17:50:42,Asik
poindul erection stringging,5,2024-09-30 17:38:58,Keren mantap dah
Naisila Cell,5,2024-09-30 17:38:44,NAsiLA
Aan Firmansyah,5,2024-09-30 17:38:04,Apik
jhonsius pihahey (Johan Bekke),5,2024-09-30 17:35:36,Maaantaaaap
Modjo Dll,5,2024-09-30 17:31:13,Mantab..emberikan kesempatan untuk para pengguna dalam meyalurkan bakat hobby dan lain nya supaya bisa menghadilkan uang
Rahma Nisa,5,2024-09-30 17:29:29,ok
ogi saputra,5,2024-09-30 17:27:11,"keren dan mantap fitur""nya"
GULANG-GULANG HERBAL,5,2024-09-30 17:22:50,keren 😎
Putri K,5,2024-09-30 17:18:18,Semoga aplikasi ini menjadi yang terbaik bnyak kemasukan dan berbagai pengalaman menjadi pintu rezeki buat aku sukses slalu
Alif Asegaf,3,2024-09-30 17:15:38,"2A,2T JIU T H2Qz:^"
Fransiskus Sensi Edion,5,2024-09-30 17:11:19,Sukses
Sugiono gogon gogon,5,2024-09-30 17:10:36,Game nya bagus
Arif Estrada,5,2024-09-30 17:03:19,ok
Pandi Syafrudin,5,2024-09-30 17:01:04,Mantap
تىي تلب,1,2024-09-30 16:48:34,Ys yayah sahriyah
Hadiman Syah,5,2024-09-30 16:47:17,good
Ramma Sulbar,1,2024-09-30 16:46:22,"saya tidak bisa membuka link di app facebook, selalu meminta saya membeli paket data"
Lissoi lissoi,5,2024-09-30 16:42:40,awesome
Rahmat Nurrahman,5,2024-09-30 16:40:12,iklan tolong d perdikit
jangsari jang,5,2024-09-30 16:36:32,Repot google ply slalu upadete.mngpa perbaruan trs.bung Google ply tingktkn produk baru y Google ply.mkash.
Fernando Kevin,5,2024-09-30 16:35:06,bagus
Deka Machyar,5,2024-09-30 16:28:06,Sukses slalu
Abangogut,1,2024-09-30 16:27:44,"Notif komentar,pengikut dll, sering tidak muncul, sangat menyulitkan sekali untuk berinteraksi"
Hariman SE,5,2024-09-30 16:27:04,"Terus berkarya klg besar BPR Muhadi Muhadi Setia Budi, mdh2an Allah SWT ridho, amin ya rabbal alamin"
Sanijordi Jordisani,1,2024-09-30 16:25:21,"saya mau masuk ke akun sendiri alamat yang saya masuk kan pun sudah benar kode nya benar tapi selalu menyata kan kode nya salah, ini bagai mana cara nya agar saya bisa masuk ke akun saya yang lama, itu semua karna hp saya menginstal tersendirinya"
Ubid Bhepe,5,2024-09-30 16:24:58,Sangat bagus
Jonkpomen Jonk,5,2024-09-30 16:24:21,Ok
Soleh Solehedi,4,2024-09-30 16:23:28,Bagus
Diana Putri,5,2024-09-30 16:19:44,sangat membantu
Andi Putri Arisman Andi Putri Arisman,5,2024-09-30 16:19:08,Mantap
Gabe Saortuapangaribuan,5,2024-09-30 16:12:14,Bagus
Yadi Cahyadi,5,2024-09-30 16:11:08,Ok dengan info yg memberi pengetahuan terbaru
Anton82,5,2024-09-30 16:10:36,Bagus
Feby Yudha Rosfadino,4,2024-09-30 16:10:12,Plis mode profesional nya kok belum ada ya?? Pdhl bikin fb udh dri tahun 2010an
Rio io,5,2024-09-30 16:08:49,Mantapo
Mul Yana,3,2024-09-30 16:08:45,Mantapkan
Nur Adam,5,2024-09-30 16:05:54,Berkebun
Syukron,1,2024-09-30 16:02:30,Akun ilang trooos
Tamtam Mbois,5,2024-09-30 15:59:48,Bagus
Muri Rahman,5,2024-09-30 15:51:34,good
Fadli dolo Ancung,5,2024-09-30 15:51:30,Bagus dan aman untuk digunakan..
Rohmat Hidayat,4,2024-09-30 15:51:27,so far so good
luthfi Almahdi,5,2024-09-30 15:45:16,mantap
Brian Batee,5,2024-09-30 15:42:44,Semoga sukses selalu
Salzu Mutiara,5,2024-09-30 15:41:23,semoga amanah. dan bermanfaat
AjajangHaris Haris,5,2024-09-30 15:36:01,Mantap sekali 👍👍👍👍👍👍👍♥️♥️♥️♥️♥️♥️♥️♥️♥️
Lanjar Adipramono,4,2024-09-30 15:35:52,Ska main fbuk sangat bagus
Abdul Jalal,5,2024-09-30 15:34:55,luar biasa meta joss pokoknya
Wiwin Wiwin,5,2024-09-30 15:25:57,sangat bagus
Amin Rais,5,2024-09-30 15:25:24,👍
Gina Ardhya garini,5,2024-09-30 15:23:06,"Semoga bisa dapet penghasilan dari aplikasi ini kaya orang lain,amin."
Haris Witanto,5,2024-09-30 15:22:39,FB mantap
Aries toteles Sitomang,5,2024-09-30 15:22:14,bagus untuk semua ...
Roy Novian,4,2024-09-30 15:21:25,Bagus
Haris Makripat,5,2024-09-30 15:20:20,Matappp
Danil Kastelo,5,2024-09-30 15:15:27,Aplikasi yang bagus keren dari pertama bikin akun tahun 2011 skrg sdh 2024 selalu memberi wadah bagi konten kreator untuk mengembangkan eksistensi nya terima kasih facebook
Maya Ulfa,5,2024-09-30 15:14:49,Coba deh
Siti Subaekah,5,2024-09-30 15:11:08,Sangat bagus
